"File","Category","ActualAccess","IntendedRole","Gap","Evidence"
"repo\Department.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\ICS.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\Item.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\PAR.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\PhysicalInventory.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\PhysicalPpe.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\PropertyCard.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\PropertyTransfer.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\RIS.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\Role.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\StockCard.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\StockInventory.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\StockTransaction.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\Supplier.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\Supply_Issuance.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\Supply_Receive.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\SupplyLedger.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\SystemSettings.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\UnserviceableProperty.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\User.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"resetpwd.php","App Entry/Utility","Public/Shared","Public (pre-auth)","",""
"supplyofficer\index.php","Role Dashboard","Supply Officer","Supply Officer","","guardRole([2])"
"test.php","App Entry/Utility","Public/Shared","Legacy/Dev","",""
"test_dept.php","App Entry/Utility","Public/Shared","Legacy/Dev","",""
"unathorized.php","App Entry/Utility","Public/Shared","All authenticated roles","",""
"vendor\TCPDF-6.7.4\config\tcpdf_config.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_1d_html.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_1d_png.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_1d_svg.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_1d_svgi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_2d_datamatrix_html.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_2d_datamatrix_png.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_2d_datamatrix_svg.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_2d_datamatrix_svgi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_2d_pdf417_html.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_2d_pdf417_png.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_2d_pdf417_svg.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_2d_pdf417_svgi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_2d_qrcode_html.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_2d_qrcode_png.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_2d_qrcode_svg.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\example_2d_qrcode_svgi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\tcpdf_barcodes_1d_include.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\barcodes\tcpdf_barcodes_2d_include.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\config\tcpdf_config_alt.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_001.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_002.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_003.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_004.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_005.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_006.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_007.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_008.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_009.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_010.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_011.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_012.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_013.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_014.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_015.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_016.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_017.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_018.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_019.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_020.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_021.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_022.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_023.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_024.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_025.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_026.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_027.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_028.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_029.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_030.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_031.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_032.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_033.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_034.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_035.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_036.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_037.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_038.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_039.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_040.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_041.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_042.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_043.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_044.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_045.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_046.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_047.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_048.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_049.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_050.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_051.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_052.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_053.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_054.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_055.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_056.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_057.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_058.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_059.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_060.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_061.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_062.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_063.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_064.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_065.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_066.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\example_067.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\index.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\afr.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\ara.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\aze.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\bel.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\bra.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\bul.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\cat.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\ces.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\chi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\cym.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\dan.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\eng.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\est.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\eus.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\far.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\fra.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\ger.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\gle.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\glg.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\hat.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\heb.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\hrv.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\hun.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\hye.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\ind.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\ita.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\jpn.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\kat.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\kor.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\mkd.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\mlt.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\msa.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\nld.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\nob.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\pol.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\por.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\ron.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\rus.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\slv.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\spa.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\sqi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\srp.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\swa.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\swe.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\ukr.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\urd.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\yid.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\lang\zho.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\examples\tcpdf_include.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\aealarabiya.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\aefurat.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\cid0cs.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\cid0ct.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\cid0jp.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\cid0kr.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\courier.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\courierb.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\courierbi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\courieri.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavusans.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavusansb.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavusansbi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavusanscondensed.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavusanscondensedb.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
